,L1_L2,L2_L3,L3_L4,L4_L5,L5_L6,L6_WM,is_man_gene
C1orf159,0.13188083787877336,0.2107783529848051,0.08132824761879995,0.3742728226974472,0.26799762827368095,0.0899666481439069,False
LINC01342,,,,0.5695501730567416,0.9842959928336349,0.38945784330654953,False
AL390719.2,0.6085307257482027,0.8215309377619707,0.4689029993661614,0.4183772250141574,0.7325447819971925,0.3067391343053404,False
TTLL10-AS1,,,,,,,False
TTLL10,,,,,,,False
TNFRSF18,0.6304918424123604,0.5239018132717741,0.23033895613203687,0.08601200095660418,0.45106040024063476,0.26205731791895515,False
TNFRSF4,0.9021458526683125,0.22185664778566505,0.5554172391023748,0.6388101537546511,0.13817403761505032,0.6020063882153026,False
SDF4,3.905300369581438e-05,0.36235953708007884,0.2411131949552945,0.012833939988779408,0.00013937747363803894,0.00033891695971784895,False
B3GALT6,9.576516095201832e-06,0.3167594715664083,0.5149071684931894,0.999706010691863,0.0002111915999924247,0.46442159719499343,False
C1QTNF12,0.07140944976624632,0.44816686877693057,0.21317147887831453,0.25442685619852196,0.042286641445782015,,False
AL162741.1,,,,,,,False
UBE2J2,8.288443958874532e-07,0.6592003708245006,0.046230639812156554,0.14483495369090832,0.0001383003448281647,0.721473068890929,False
LINC01786,,0.6132070762764592,0.6389098972484948,,,,False
SCNN1D,0.32550642383630657,0.6072620344873403,0.618809583553096,0.7365718829366428,0.49018659028775546,0.7543102246266178,False
ACAP3,5.171444987337428e-13,0.0015223998400478486,0.000847199354073337,0.13658257418223765,0.04691783076028859,0.12807050478480128,False
PUSL1,0.0022926605783348025,0.48345981030905827,0.714555488325624,0.46724191539384374,0.045213785727906124,0.6517715824154704,False
INTS11,2.4979418352579284e-07,0.9911245651324253,0.1702394247951389,0.8246028483830067,0.0012638165025218744,0.01100219209475936,False
CPTP,2.5709788863721376e-05,0.2548444637143291,0.49346839206854765,0.10134056821150292,0.21923621756735967,0.22159142264044127,False
TAS1R3,0.14159882325231235,0.27518629599374905,0.7181220968977294,0.9801961168484588,0.07880732997496993,0.24562759310497015,False
DVL1,2.498543962956348e-12,0.02723519393441169,0.6057344057753484,0.18447950342382927,6.057625433816555e-05,0.118072818528681,False
MXRA8,0.845110434830686,0.31710848097340055,0.8150447397270939,0.6266053330353243,0.6999853514693127,0.5811837700357573,False
AURKAIP1,5.3972900325795645e-14,0.8251058608671065,0.6522398437432679,0.536436842487713,2.1402724896607682e-08,0.24203689845651244,False
CCNL2,0.00024630993201109553,0.08698107385060817,0.03877716101378027,0.13919300964585585,0.002997950537447475,0.37679538879202634,False
MRPL20,4.336870817155657e-17,0.16787484252830645,0.07084017769929263,0.73104743270308,3.284154619311077e-07,0.820541375196076,False
AL391244.3,,0.21458997902414,0.7947432672850743,0.8160133303270101,0.6777525695914562,0.9072855958397359,False
ANKRD65,0.05649247492246424,0.4702901219366974,0.9871693144906533,0.27631083478416646,0.28118473923640097,0.002403322678637119,False
AL391244.2,,,,,,,False
TMEM88B,,,,,,0.044032951968366964,False
LINC01770,,0.47447851333310176,0.5067621063023304,,,0.24562763537627955,False
VWA1,0.14731440569317103,0.4679217109872037,0.28376945206123505,0.01632851830889074,0.09129744839693746,2.3405219713428068e-45,False
ATAD3C,0.5463238388718422,0.16746154703447258,0.46430811844087194,0.8417981047601719,0.06130600642185779,0.0038866452118874253,False
ATAD3B,0.05503613341544368,0.6176438310981547,0.6919305745618763,0.9493206461584865,0.0009467343878373704,0.08634746281504738,False
ATAD3A,0.007335677060684059,0.41070031525064965,0.23008830495021934,0.86111222368942,0.679924290059196,0.71568715944834,False
TMEM240,0.4123182073144297,0.8220648118769451,0.42068014036650025,0.33937943631260903,0.6527059124450855,0.6287358719107567,False
SSU72,2.8396954303648975e-19,0.0050204504805631605,0.156913014984259,0.8156903651311962,1.6616306253503362e-08,5.523648496402796e-06,False
AL645728.1,0.07140946094227549,0.7115061248023955,0.20159082504113102,0.22658932416711905,0.34504797312409663,0.4768926561537926,False
FNDC10,0.00017668896832021032,0.04799793373456779,0.08744555062814459,0.025328601435806005,1.8232728503220124e-06,0.007944684516435596,False
AL691432.2,0.0003393852714217627,0.13388915835711865,0.12259522294868705,0.8604188617059074,0.04738097312705987,0.2219814975625341,False
MIB2,3.733686840501677e-08,0.08417769055573349,0.6080935473305116,0.5556229407516577,0.0007353841235908813,0.022812962907340303,False
MMP23B,0.08262091882109991,0.35173759355882195,0.3289232183391765,0.23308254248079535,0.17647123474471782,0.2674921121531829,False
CDK11B,0.0012160415154190837,0.751733666728315,0.5910373031858795,0.16875585336735094,0.18717179537531375,0.08478084147782641,False
FO704657.1,,0.31135492217930216,0.34734802409465615,0.5695501881755332,0.5799707805247539,0.2233124592389548,False
SLC35E2B,4.4013793158251375e-06,0.14537104810388793,0.2966634802840467,0.208271837869216,0.004038727087741948,0.8928981166490677,False
CDK11A,0.07140946094227549,0.13872833584003594,0.9101855155758387,0.429564078919068,0.08660155888661612,0.43008682982877855,False
SLC35E2A,1.1539375518185e-05,0.5822933561460479,0.7437315640013396,0.5528603602777153,0.0674131532989999,0.1036756637193128,False
NADK,0.0003283934892824123,0.00529673096599731,0.8007012874985527,0.9846773551104404,0.056528454785980065,0.7537332497549362,False
GNB1,3.13238001860258e-29,0.10090004793483891,0.08105952087631456,0.24193130212362143,1.9128017728086388e-22,5.752878460677219e-08,False
AL109917.1,0.9392518719587231,0.6539649786191971,0.3790781899790088,0.9801961168484588,0.9727634154044202,0.13561914630078928,False
CALML6,0.29935249078555415,0.5770998310397728,0.5067621063023304,0.3239709192365934,0.30361855871264115,0.389457824213828,False
TMEM52,0.29935249078555415,0.29855632839607704,0.37907822690852433,0.429564078919068,0.3401187828569816,0.6466678362383603,False
CFAP74,0.9035343582441211,0.6723416958220614,0.507953991205268,0.10586672099574518,0.04539025270817703,0.47689265285878757,False
AL391845.2,0.5195049806947689,0.49637432360507006,0.6322898332209708,0.4183772103634764,0.7325447821605826,0.9878300451846158,False
GABRD,1.3676032203613154e-25,0.03833642718734943,0.2670778684878093,3.907804535700702e-06,5.027015122654037e-13,7.704264895234292e-23,False
AL391845.1,,,,,,,False
PRKCZ,2.726967573488721e-18,0.635553890065341,0.8652943578380391,0.8833131289820251,1.8120578334813658e-10,4.342811446683344e-05,False
AL590822.2,,,,,0.32422657514256115,0.38945784330654953,False
PRKCZ-AS1,0.29935249078555415,0.5770998310397728,0.5067621063023304,0.5695501730567416,0.3107492714729213,0.24562760719540727,False
FAAP20,0.002208223345895232,0.3213851218437568,0.8469578207194816,0.40721307631812154,0.007942707727681669,0.08907078840334248,False
AL590822.1,,0.6132070762764592,0.6389098972484948,,,,False
SKI,8.821350635656997e-05,0.3081861188182807,0.23479049815015124,0.7697384369302338,0.7420583477372289,0.07135506685237643,False
MORN1,0.059388202915460334,0.4654675431014862,0.48656976370268645,0.9578343110722305,0.8008018957491776,0.041359485250629394,False
RER1,2.210652657412317e-12,0.49991294081538207,0.4947461619916025,0.266104273224758,0.0021236922937000495,0.01665293048180992,False
PEX10,0.0011154441320956902,0.5074170069353718,0.6066622267682025,0.6112918404262313,0.0624987097996889,0.01207017859428013,False
PLCH2,3.1232598534768675e-06,0.3460695099427519,0.006813690713016982,0.23085021560197447,0.3513121442859446,0.11710785385185354,False
AL139246.1,,0.47447851333310176,0.5067621063023304,,0.32422657514256115,0.38945784330654953,False
AL139246.4,,,,,,,False
PANK4,5.5630363604808e-05,0.5573834048302139,0.5879609759051437,0.09184789126015183,0.005886392463227116,0.6808962579130198,False
HES5,0.03949810288221396,0.828517805403797,0.09514522378328998,0.5290106120262077,0.07012905479531102,0.2396311415990314,False
AL139246.5,0.041577833416228255,0.9529035592106895,0.5104604957661301,0.06942234098201196,0.3549832403676788,0.9236896913587405,False
TNFRSF14-AS1,0.3361892777504216,0.1798906133790544,0.3690779169022024,0.018271466230400123,0.062094295270284726,0.26586349565662265,False
TNFRSF14,5.6634181385485076e-05,0.769792403933741,0.9595472712164737,0.014073606398231459,0.02639987627489891,0.7529890481878967,False
AL139246.3,0.29935249078555415,0.2981414622492947,0.6389098779445004,0.5695501730567416,0.3107492714729213,,False
FAM213B,4.0977960177855984e-10,0.08558541541138134,0.08728713466052059,0.41822077850271233,0.00012604911713695087,0.01571703287902821,False
MMEL1,0.44791114323984793,0.0017647306291969128,0.9101855155758387,0.5298332844671094,0.727233481227856,0.0537605466143292,False
AL831784.1,,,,,,,False
TTC34,0.03708274110146894,0.004739689019912173,0.49157003533228083,0.4009676154215521,0.3107492714729213,0.10036314719681325,False
AC242022.1,,,,,,,False
AL592464.2,,,,,,,False
AL592464.1,,,,,,,False
AL589702.1,,,,,,,False
ACTRT2,,,,,,,False
LINC00982,0.0005238455020476885,0.19626885817110734,0.014614004363860015,0.4691241506194509,0.5759513359518731,0.15021029054864646,False
PRDM16,0.473817697861991,0.8918159497661865,0.12404970517919524,0.7903801118533296,0.1372165801481902,0.2548290729697915,False
AL008733.1,,,,,,,False
AL590438.1,,,,,,,False
ARHGEF16,0.019574857603446707,0.27715933525512015,0.801059991611518,0.3122706293860866,0.15746496084246772,0.10917807856594419,False
AL512413.1,,,,,,,False
MEGF6,0.6522958600640911,0.9656828451707795,0.8684113761105761,0.9277649968799144,0.9429182919563469,0.6757960035625787,False
AL513320.1,0.29935249078555415,0.04798447505224286,,0.42093001635108707,0.5473951105403967,0.389457824213828,False
TPRG1L,2.1864551444369392e-14,0.03649556717628893,0.7766162872908133,0.7689151938270958,5.815912645782433e-14,1.6825221907056254e-08,False
WRAP73,3.6700458928052425e-05,0.3991202551730749,0.3996510016513709,0.07452862747489937,0.0017320740813842217,0.21301479799963377,False
TP73,,0.3113548942510222,0.34734799626416013,0.20230292089637672,0.24076825747021158,0.7461475830202822,False
AL136528.1,,,,,,,False
AL136528.2,0.33618924706250664,,,0.5695501730567416,0.3107492714729213,0.10036314719681325,False
CCDC27,,0.6132070558446958,0.6389098779445004,0.5695501730567416,0.3107492714729213,,False
SMIM1,0.9254925543566985,0.25881155104093,0.7098527922063211,0.8662380652946493,0.04911129873982252,0.00020976692474001014,False
LRRC47,6.040580870495479e-12,0.04088605850107796,0.0004518861668112191,0.002585912171559846,8.341395956259482e-07,0.027988733030282553,False
AL365330.1,,,,,,,False
CEP104,0.0008855970939087942,0.37641161925804734,0.6089130307948534,0.7215037685559196,0.5933583213101251,0.049619202316561556,False
DFFB,0.0004044991252480765,0.055506382947655954,0.8197095918350927,0.9504383104464915,0.9536577891050882,0.5220972627108404,False
C1orf174,0.00014737109874548944,0.45843676996993155,0.4177167730641962,0.4680098418956724,0.004180634983549381,0.5611281834472417,False
LINC01134,,,,0.5695501881755332,0.3107492904200654,0.24562759310497015,False
LINC01346,,0.6132070762764592,0.6389098972484948,,,,False
LINC01345,,,,,,,False
AL805961.1,,,,,,,False
AL805961.2,0.0009036631044054151,1.573779244031586e-06,0.1576900331232066,0.16222426415182928,0.8420955801068426,0.0687665258318276,False
LINC01777,,,,0.5695501730567416,0.3107492714729213,,False
AL355602.1,,,,,,,False
Z98747.1,,,,,,,False
LINC01646,,,,,,,False
AJAP1,5.2328969434461726e-09,0.044542578325462476,0.6872412850157108,0.2345279414117265,0.006371511269972642,0.7041421945308257,False
BX005132.2,,,,,,,False
BX005132.1,,,,,,,False
AL691497.1,,,,,,,False
AL139823.1,,,,,,,False
Z98259.3,,,,,,,False
Z98259.2,,,,,,,False
Z98259.1,,,,,,,False
AL365255.1,0.9571058825490162,0.9835777761104504,0.34734802409465615,0.3239709192365934,0.6320493742407607,0.7461475781380553,False
NPHP4,0.0008855970939087942,0.0596155978989694,0.4059568797826968,0.4256056490306773,0.04252571411785665,0.6244445039897706,False
KCNAB2,3.605191080717792e-23,0.5186557149499953,0.03693837437600552,0.2391208596290481,3.9082621946426416e-06,1.2418091956088114e-19,False
CHD5,2.206952303507825e-15,0.38298533319260153,0.12146987378243455,0.913495264984262,2.6375516762361e-09,4.301086991943921e-14,False
RPL22,2.05648472405056e-23,0.48125728368746856,0.2822006232209566,0.8638508178009685,2.009531135263851e-07,1.4173315267633388e-13,False
AL031847.1,0.14159879975259337,0.5700640894962821,0.10231519930993764,0.3239709192365934,0.6320493742407607,0.2233124405780885,False
RNF207,0.06037470335601037,0.5603921236863636,0.9409475003616319,0.7212983530518464,0.0005388786368634875,0.49854205313784383,False
ICMT,2.23377078773207e-07,0.20588423738825037,0.18894838072761735,0.6543016262995069,0.12910958161817931,0.003491743069200604,False
LINC00337,,,,,,,False
HES3,,,,,,,False
GPR153,0.004906392828242282,0.6543290994825219,0.4473648979656133,0.5243585769322303,0.10062273279377457,0.15701396631900663,False
ACOT7,1.8625132933803206e-24,0.07776856783574868,0.23016198291067055,0.9164073673032213,3.9544465939011946e-20,3.630823453251214e-15,False
AL031848.2,,0.6132070762764592,0.6389098972484948,,0.32422657514256115,0.8318004606032329,False
HES2,,0.47447851333310176,0.49157005198530546,0.7208322597425427,0.5473950949829259,0.38945784330654953,False
ESPN,0.519504964258029,0.5893653503436546,0.4689029993661614,0.6260706657816766,0.07381969111684383,0.027846910303790336,False
AL031848.1,,,,,,,False
TNFRSF25,5.368742426109695e-06,0.08844982498451814,0.06474402348340899,0.18931621371060067,0.6926250908751863,0.004970798170456102,False
PLEKHG5,1.6747292482792046e-08,0.4497930637485247,0.09664545701769585,0.06404392246528837,0.27591689081914517,0.0011300499063529275,False
NOL9,0.00035222287018853783,0.6204662385224867,0.27989468446602817,0.1609903614620468,0.00021043600729887503,0.953592219744477,False
TAS1R1,0.29935249078555415,0.04798447505224286,0.03311934558239565,0.40096762465687297,0.3107492904200654,,False
ZBTB48,0.010564070035806592,0.1805790643000289,0.7982882298697004,0.9180969071169494,0.17792930879508756,0.4164650487657643,False
KLHL21,0.0020793835839016147,0.8907406385518958,0.08714734897705372,0.20112923515403702,0.005593008027607511,0.022478694865662556,False
PHF13,0.028666599284075143,0.29051386341891655,0.07505825056746557,0.32247031770641765,0.5973721937410109,0.5379361502312736,False
THAP3,0.0009340413010696825,0.5756169367811447,0.3010001910728833,0.3956069689618943,0.05491610939188548,0.9664873904235464,False
DNAJC11,0.0001291189331295837,0.9257771806474981,0.09891093310557947,0.04738945799271505,0.0006514938183428229,0.26286658999763207,False
LINC01672,,,,,,,False
AL591163.1,,,,,,,False
CAMTA1-DT,0.9571058812870571,0.5770998456788051,0.49157006863832897,0.8160133246406862,0.39427924156884064,0.2233124405780885,False
CAMTA1,5.149229685437131e-17,0.6883295624852479,0.8550503724263794,0.8314398818567224,2.314136794165777e-09,3.652773479859571e-07,False
AL512330.1,,,,,,,False
Z97987.1,,,,,,,False
AL365194.1,,,,,,,False
AL359881.3,0.14159879975259337,0.046262299354699866,0.6389098972484948,0.42092999813452237,0.15148216043588722,0.10036314719681325,False
AL359881.2,,,,0.5695501881755332,0.9842959931411813,0.8318004581301754,False
AL359881.1,0.14159879975259337,0.046262299354699866,0.6389098972484948,0.42092997991795644,0.5473950949829259,0.8318004655493478,False
VAMP3,0.017437905251589326,0.3707432629981974,0.6465691197920563,0.3889743223721469,0.08810068177354316,2.886793853857133e-25,False
PER3,0.0001626262021986338,0.17711115931413693,0.13230259236009811,0.8424533060248982,0.15467001227165184,0.14094864783057953,False
Z98884.1,,,,,,,False
UTS2,0.33618926240646474,,,,,,False
TNFRSF9,,,,,,0.2456275790145322,False
PARK7,4.01937783174879e-24,0.3099295702631897,0.17580596030481124,0.39916158139041924,5.666901050627886e-11,0.0005645129380201169,False
AL034417.4,,0.6132070762764592,0.6389098972484948,,,0.24562762128584384,False
AL034417.3,,,,,0.32422657514256115,0.38945784330654953,False
ERRFI1,0.06520711252177586,0.011476630844422407,0.4687250555977852,0.6006485752234505,0.0005854475969647226,0.4970203551002649,False
AL034417.2,,0.6132070558446958,0.6389098779445004,,,0.24562760719540727,False
LINC01714,,,,,,,False
AL358876.2,,,,,,,False
SLC45A1,0.00024179691139797902,0.08748983419930297,0.8493696840743279,0.13506299696105248,0.004841204807152274,0.03736393405444841,False
RERE,8.6363661885348e-10,0.6934959545820816,0.8480008689918254,0.2443576360098851,1.7030860934729695e-06,0.09529999508649264,False
AL096855.1,,,,0.5695501881755332,0.3107492904200654,,False
AL357552.2,,,,,,,False
ENO1,6.4535093799315505e-25,0.7676868089956866,0.1256662244878711,0.39182987989851215,1.5915250243765728e-20,6.294137408152786e-08,False
ENO1-AS1,,0.47447851333310176,0.5067621063023304,,,,False
CA6,0.29935249078555415,0.04798447505224286,,0.5695501881755332,0.3107492904200654,,False
SLC2A7,,,,,,,False
SLC2A5,0.2783146036306894,0.22284906337352506,0.7732745727002374,0.9561349819012821,0.9408438417911658,0.19098079229932408,False
GPR157,0.9571058819681144,0.9835777744000097,0.9101855073123057,0.5298332844671094,0.05344010396194037,0.8318004606032329,False
MIR34AHG,0.9571058819681144,0.1583118288993427,0.46452163086062925,0.418377234476055,0.6320493742407607,0.43008680028964885,False
LINC01759,,0.6132070762764592,0.24030944436080798,0.0789050847132248,,,False
H6PD,0.8930585197465222,0.891815953548709,0.8268141706045185,0.6847825040764033,0.7239357878323361,0.007693412442900169,False
SPSB1,0.0065994642769911915,0.8133118771386505,0.9465446371628369,0.32889901720892945,0.3023601903869258,0.0010100330633017916,False
BX323043.1,,0.311354950107579,0.3473480519251487,0.5695501881755332,0.9842959931411813,0.09000766234498668,False
AL928921.2,0.9571058832300734,0.6888225317222717,0.6091038905974617,0.9719326205636869,0.8195936440751062,0.3967637892188649,False
AL928921.1,,,,,,,False
SLC25A33,0.05907728686108179,0.22362588666077238,0.697343370551928,0.9181267963084293,0.0023505704381826145,0.3714118626083196,False
TMEM201,0.07458521869262012,0.25494908319565707,0.2328444063409608,0.6557439705891394,0.26018470404448485,0.8821351676301388,False
PIK3CD,0.01205805528001687,0.32483138053640537,0.5498423007946875,0.8091293107549811,0.006755704402041809,0.4419040336071903,False
PIK3CD-AS1,,,,0.5695501730567416,0.3107492714729213,,False
PIK3CD-AS2,,0.31135492217930216,0.34734802409465615,0.42093001635108707,0.5473951105403967,0.18920411888804975,False
CLSTN1,2.692175028179175e-42,0.7163189006010148,0.0036292223537380285,0.17722474735422342,3.0602575149491054e-23,1.1901724872372426e-32,False
CTNNBIP1,0.0003826231135811225,0.36299531590747836,0.8873088066795137,0.5143902924602983,0.00016367127396140526,0.5377645638819272,False
AL357140.1,,0.47447851333310176,0.49157005198530546,0.4009676154215521,0.3107492714729213,,False
LZIC,0.012058052501700674,0.703951944732044,0.32695772941350154,0.7561698116810867,0.6864351420658528,0.5318093341415961,False
NMNAT1,0.16226550855685537,0.6553402789224909,0.23397151290975862,0.08657018808912702,0.6899768484722132,0.3422355120018762,False
RBP7,0.16419226060058675,0.5524334374159161,0.06605535953064241,0.16696836277764382,0.2722721474392404,9.236369987780303e-17,False
UBE4B,0.002580664378928508,0.8833194265148425,0.3941209065573589,0.90388458455371,0.004884042584169432,0.2084633136719032,False
KIF1B,3.3545375190106144e-18,0.27241061826921903,0.21302851612630788,0.1543847205439712,1.1230677671484988e-06,0.013947654572835722,False
AL139424.3,,,,0.5695501881755332,0.3107492904200654,,False
AL139424.2,0.14476484757898142,0.5115898726832042,0.4080381791129509,0.8080070742167472,0.030560656647701984,0.25536715701128143,False
PGD,0.022378452764586144,0.10857866826266178,0.6229680475487831,0.6108968589984549,0.00012586181488102613,0.7809647448757266,False
AL139424.1,,,,,,,False
CENPS-CORT,0.2143679864976169,0.6933752404522395,0.44036371956323284,0.8750699854472521,0.15914990143522917,0.5699397885996682,False
CENPS,0.12916736872478615,0.848576767115893,0.41121532642997916,0.8264372732063714,0.21473531603522839,0.023034017111648285,False
CORT,0.016857571437106828,0.3941408572363546,0.12889362693271172,0.13699356370476415,0.013920977484905782,0.21322609781422366,False
DFFA,0.0001993726339422765,0.35377201334693587,0.07836116936733462,0.004521898375583226,0.20432360524898083,0.0477847149538804,False
AL354956.1,,0.6132070762764592,0.6389098972484948,,,,False
PEX14,1.777040040481386e-08,0.46152419528588406,0.6112886488363758,0.2518534027598099,0.0023422099916500243,0.09465717143912065,False
CASZ1,0.21436798228904455,0.3517376003022087,0.10231519930993764,0.10610093087687157,0.5557337346887019,0.12922605744046434,False
AL139423.1,,0.25746849121901705,0.9291368801930504,0.8160133246406862,0.9718663770495043,0.15951898396234057,False
C1orf127,,0.6132070558446958,0.6389098779445004,,0.32422657514256115,0.38945784330654953,False
TARDBP,8.286909798841174e-09,0.4156396161457103,0.03526832904948774,0.20518923070128656,0.0009454621080944838,0.0016025291629081484,False
AL109811.4,,,,,,,False
MASP2,,,,,,,False
AL109811.3,0.5933626437156436,0.8714517392179171,0.04711983725726518,0.025089756171091937,0.9582833151743992,0.7930939261809223,False
SRM,7.996713543834752e-12,0.86827720318555,0.09119603649232856,0.7395191009178214,2.8502207572519843e-07,0.04209006693554303,False
EXOSC10,3.786444665020819e-05,0.07252254953605727,0.3132597772306589,0.8939714146078613,0.0010460302888979929,0.011855932503196864,False
AL109811.1,,0.6132070762764592,0.6389098972484948,,0.32422655566043324,0.389457824213828,False
AL109811.2,0.51950498956539,0.5700640927661609,0.8444518622624106,0.534540680386091,0.9642875656505472,0.18122282278853774,False
MTOR,8.489608590704156e-06,0.4128859370666881,0.1808709606223576,0.7121643610156914,0.0013471015634602542,0.2468239407168994,False
MTOR-AS1,,,,,,,False
ANGPTL7,,0.47447848787510094,0.5067620818193368,,,,False
UBIAD1,0.19655008500800972,0.3018091159510686,0.7234222055575094,0.7953160275548888,0.7260366929318471,0.14488604845608355,False
AL031291.1,,,,,,,False
DISP3,0.3981996519197599,0.4834904370707208,0.0929365770502462,7.681617408068179e-05,0.07652855834307455,0.8268878766922221,False
LINC01647,,,,,,,False
AL031731.1,,0.4744785387910989,0.49157006863832897,0.4009676154215521,0.3107492714729213,,False
FBXO2,2.1317715088994395e-14,0.23478640840460355,0.012467552512791151,0.03949603760886416,5.54830073414024e-06,0.0025901410107814888,False
FBXO44,8.754021645962383e-18,0.047730822418930514,0.07833011911051159,0.3214808376907569,2.403285622721163e-09,6.559613035945096e-08,False
FBXO6,0.0022829249333057087,0.4881977657673199,0.6843734704027636,0.9264789062752046,0.1999644114606475,0.014517001896580844,False
MAD2L2,5.906127560589837e-05,0.0037632498956081213,0.40105300050816084,0.16985985981682356,0.05082406563792487,0.006571362933203631,False
DRAXIN,0.33618924706250664,0.6132070762764592,0.6389098972484948,,,0.24562762128584384,False
AGTRAP,0.3258590632665005,0.25253092643345654,0.3010293984415135,0.16512823293760806,0.4561026511093419,0.004636122097684966,False
C1orf167,0.29935249078555415,0.298141476170891,0.6389098972484948,0.42092999813452237,0.5473951000700711,0.389457824213828,False
AL953897.1,,,,,,,False
MTHFR,0.020661052348191433,0.2388461104343813,0.3377961008245062,0.3515378754423304,0.8137226936933434,0.47680241164562853,False
CLCN6,0.0009583623728049453,0.09772060308291709,0.5041598561658002,0.49151282792799833,4.71114501917972e-06,0.22067229284593057,False
NPPA-AS1,0.33618926240646474,0.311354950107579,0.3300436752399398,0.6126891045418343,0.16924422611877524,0.8318004630762904,False
NPPA,0.00026997942644011407,0.002200937251919943,0.009066370428862538,0.3986245261687388,0.24433504102780162,0.9697506482894553,False
NPPB,,,0.03311934558239565,0.0789050847132248,,,False
KIAA2013,0.001982130302368051,0.4568787259192463,0.8277271421985186,0.3494305754847489,0.8944097376009663,0.033609805371158354,False
PLOD1,8.924833432089688e-09,0.003093746757692181,0.9381027738052372,0.9693881290190658,0.0664237046167916,0.005878075790492727,False
MFN2,8.472792546359985e-09,0.9915822845893468,0.6120438955161404,0.6842643171165707,6.016770746228006e-09,0.5979203359604186,False
MIIP,0.12737206208303384,0.6276364180691372,0.9195907208827916,0.6141543597422006,0.2903208112062558,0.6072311113264232,False
TNFRSF8,,0.6132070762764592,0.6389098972484948,,,,False
TNFRSF1B,0.11096672187583381,0.4078462045868646,0.7456457594961174,0.8417981068995566,0.36905026825407605,0.5022175014683484,False
VPS13D,0.0006349357473755467,0.6369177051607637,0.7379556615136491,0.1291572442344838,1.3450248841829986e-05,0.11474124442687228,False
AC243836.1,,,,,,0.24562762128584384,False
DHRS3,0.10367171398087553,0.1777630255620254,0.1400320223729974,0.39798447764136013,0.4586286796966714,0.6299196821397379,False
AC254633.1,,0.6132070762764592,0.6389098972484948,,,,False
AADACL4,,,,,,,False
AADACL3,,,,,,,False
C1orf158,,0.6132070967082195,0.6389099165524856,,,,False
PRAMEF12,,,,,,,False
PRAMEF1,,,,,,,False
LINC01784,,,,,,,False
PRAMEF11,,,,,,,False
HNRNPCL1,,,,,,,False
PRAMEF2,,,,,,,False
PRAMEF4,,,,,,,False
PRAMEF10,,,,,,,False
PRAMEF7,,,,,,,False
PRAMEF6,,,,,,,False
PRAMEF27,,,,,,,False
HNRNPCL3,,,,,,,False
PRAMEF25,,,,,,,False
HNRNPCL2,,,,,,,False
AC245056.1,,,,,,,False
PRAMEF26,,,,,,,False
HNRNPCL4,,,,,,,False
PRAMEF9,,,,,,,False
PRAMEF13,,,,,,,False
PRAMEF18,,,,,,,False
PRAMEF5,,,,,,,False
PRAMEF8,,,,,,,False
PRAMEF33,,,,,,,False
PRAMEF15,,,,,,,False
AC243961.1,,,,,,,False
PRAMEF14,,,,,,,False
PRAMEF19,,,,,,,False
PRAMEF17,,,,,,,False
PRAMEF20,,,,,,,False
